ID	States_number	Prod_of_ZEB1	Prod_of_miR200	Prod_of_PDL1	Prod_of_CDH1	Prod_of_SLUG	Deg_of_ZEB1	Deg_of_miR200	Deg_of_PDL1	Deg_of_CDH1	Deg_of_SLUG	Trd_of_miR200ToZEB1	Num_of_miR200ToZEB1	Inh_of_miR200ToZEB1	Trd_of_ZEB1ToZEB1	Num_of_ZEB1ToZEB1	Act_of_ZEB1ToZEB1	Trd_of_CDH1ToZEB1	Num_of_CDH1ToZEB1	Inh_of_CDH1ToZEB1	Trd_of_SLUGToZEB1	Num_of_SLUGToZEB1	Act_of_SLUGToZEB1	Trd_of_ZEB1TomiR200	Num_of_ZEB1TomiR200	Inh_of_ZEB1TomiR200	Trd_of_SLUGTomiR200	Num_of_SLUGTomiR200	Inh_of_SLUGTomiR200	Trd_of_miR200ToPDL1	Num_of_miR200ToPDL1	Inh_of_miR200ToPDL1	Trd_of_PDL1ToCDH1	Num_of_PDL1ToCDH1	Inh_of_PDL1ToCDH1	Trd_of_ZEB1ToCDH1	Num_of_ZEB1ToCDH1	Inh_of_ZEB1ToCDH1	Trd_of_SLUGToCDH1	Num_of_SLUGToCDH1	Inh_of_SLUGToCDH1	Trd_of_miR200ToSLUG	Num_of_miR200ToSLUG	Inh_of_miR200ToSLUG	Trd_of_SLUGToSLUG	Num_of_SLUGToSLUG	Act_of_SLUGToSLUG
797	3	73.121568	51.019341	95.099054	56.529907	26.011769	0.108372	0.27526	0.41187	0.762994	0.948739	1.267322	4	0.948004	1.279965	4	80.541913	1.252304	2	0.013541	13.788847	3	35.017039	0.121337	6	0.01473	0.458683	6	0.148327	7.762231	6	0.096672	22.109562	2	0.019313	0.786802	3	0.320144	11.410663	1	0.014236	12.322383	1	0.205244	13.711851	6	27.492634
802	3	21.992831	30.438292	14.270339	8.480466	27.326358	0.447444	0.345332	0.840241	0.839558	0.710233	10.215357	4	0.06377	0.162632	6	6.483404	3.686524	2	0.013164	8.601073	3	11.510763	1.046311	5	0.011565	11.24238	4	0.041864	6.999747	3	0.019415	5.852843	2	0.040019	1.137776	1	0.010982	12.038136	3	0.034127	4.270491	5	0.051127	16.888845	5	77.739889
816	3	38.80008	83.665594	5.501157	64.73056	36.565868	0.180281	0.323284	0.351188	0.202593	0.164571	6.402032	1	0.010084	1.270482	2	22.216601	3.035277	1	0.011622	1.394054	4	28.222624	1.381952	6	0.02095	1.329958	6	0.019688	13.561323	4	0.020233	2.268741	1	0.010366	1.115312	2	0.010783	15.975832	2	0.010118	12.53348	2	0.011592	13.822983	6	50.729616
819	3	91.672995	77.425941	38.916126	12.14378	93.065021	0.261349	0.675035	0.288198	0.658653	0.724465	7.971935	6	0.024295	1.194205	2	38.961558	2.615894	3	0.069578	5.974647	5	79.103243	0.665405	5	0.022708	14.738931	2	0.017484	4.337461	3	0.062846	36.338673	1	0.010971	0.201976	2	0.028087	12.568805	4	0.09685	1.089875	4	0.012705	0.255983	4	40.843954
820	3	74.796646	71.352576	64.191181	4.176327	20.780228	0.403801	0.173209	0.204002	0.241967	0.61565	7.70229	5	0.09953	1.428917	4	66.525456	0.734334	3	0.022367	9.282565	6	35.684988	0.839292	5	0.013369	7.52755	5	0.089703	5.677416	2	0.029896	44.574946	4	0.0333	1.560975	4	0.017636	1.853856	1	0.01033	3.186172	4	0.02948	5.489725	5	27.864355
823	3	90.164341	47.284801	60.264957	84.97691	78.995043	0.789148	0.412024	0.735224	0.872848	0.429329	11.371443	5	0.014352	1.144669	2	11.599533	1.514669	3	0.038615	9.851056	5	2.547469	1.39738	1	0.018185	5.648084	5	0.028674	12.741513	2	0.023013	31.838763	6	0.04154	1.22322	6	0.047664	7.170629	6	0.015124	13.503387	4	0.152792	7.977183	6	98.148288
834	3	21.775717	35.457457	41.946159	14.284369	7.188211	0.846078	0.567084	0.375011	0.23138	0.103408	12.717138	1	0.012422	0.988032	6	87.068737	0.535462	4	0.013004	11.831287	3	88.40694	0.910428	4	0.012831	1.87806	2	0.02292	2.460966	5	0.023156	53.035231	4	0.017708	1.236497	6	0.021674	13.670237	3	0.024589	4.978601	3	0.027122	17.52535	4	38.710378
838	3	18.051457	97.333086	13.562789	44.661801	86.030157	0.985379	0.642867	0.322682	0.184701	0.933183	5.042869	2	0.019168	1.16042	5	81.798784	2.68437	1	0.011286	4.800623	2	60.594169	1.420829	4	0.01557	10.919981	6	0.015723	11.141171	3	0.061628	19.36362	3	0.01684	0.075808	4	0.014957	14.276737	2	0.259318	3.265513	5	0.076645	14.632816	4	4.500906
840	3	9.506474	73.885163	48.293349	14.943751	96.631174	0.61217	0.583942	0.890224	0.810092	0.871363	0.688831	3	0.011211	0.78256	4	69.0569	2.430775	3	0.011164	4.880012	2	21.121127	0.640924	1	0.010016	7.665516	3	0.014721	3.173243	2	0.016734	8.372277	2	0.019832	1.402231	1	0.029533	9.931937	1	0.018387	6.655359	3	0.04037	15.209274	2	33.16888
843	3	56.949166	8.684896	55.206481	12.55987	28.038558	0.496381	0.132121	0.104895	0.358225	0.636623	1.909203	3	0.018761	1.083067	3	82.05895	2.757124	2	0.012658	2.378013	4	25.236358	0.775922	6	0.013254	14.172636	2	0.193148	2.94189	6	0.010316	11.34662	2	0.020154	0.513421	2	0.010158	2.824089	6	0.014997	0.744328	1	0.013451	8.577625	4	39.55511
852	3	92.309132	34.79907	15.967762	99.616001	71.946061	0.729546	0.21286	0.321673	0.583382	0.886168	5.142439	6	0.045442	0.534948	5	83.743398	0.971559	3	0.037571	14.284856	1	18.980511	0.671721	2	0.029873	7.818869	3	0.056732	1.569548	1	0.017831	48.973532	5	0.010812	1.416178	1	0.044466	13.707987	1	0.01312	4.183439	5	0.105315	4.072517	6	97.289897
853	3	39.952306	51.106253	94.302832	16.501694	74.010641	0.73426	0.459454	0.297401	0.348691	0.863395	3.534784	2	0.032618	1.150973	2	90.652753	1.306404	5	0.042516	3.976517	1	74.830517	0.647817	4	0.017518	4.377206	4	0.01353	3.082371	4	0.023523	9.92792	6	0.041465	0.74808	3	0.157678	4.120227	4	0.074231	11.822521	5	0.012311	15.912619	5	56.476309
860	3	42.296368	22.921525	25.658643	97.543197	80.538919	0.965729	0.723723	0.65141	0.325757	0.677438	7.99604	1	0.055831	1.252557	1	65.726021	1.343595	2	0.018477	2.596833	4	78.810037	0.991418	6	0.015935	2.020024	3	0.025728	9.194219	2	0.012004	46.327235	5	0.050245	0.654232	4	0.01108	12.57718	2	0.612263	11.653482	5	0.012669	6.137535	4	13.181945
868	3	9.013623	56.531017	92.554243	47.143724	23.354746	0.618468	0.946791	0.214962	0.791984	0.806457	0.966291	3	0.029514	0.639842	5	17.426251	1.061918	6	0.01483	4.03739	2	48.711807	1.15099	2	0.011507	1.181492	1	0.067057	4.114002	3	0.01002	34.395862	6	0.02599	1.239356	6	0.061494	11.972076	1	0.018526	4.803425	5	0.043597	0.253427	5	47.616161
879	3	41.210415	24.401217	51.637061	3.816962	12.109680000000001	0.539822	0.717124	0.161541	0.498119	0.817724	4.727604	4	0.021042	1.453466	5	9.3485220000000009	1.095484	5	0.109567	3.901405	4	97.28275	1.514122	5	0.06181	8.380401	3	0.037497	4.109901	3	0.01478	5.309614	1	0.011704	1.435844	4	0.015679	10.196899	5	0.062694	13.185415	1	0.242197	3.445858	5	96.466266
885	3	81.792625	46.467462	73.616834	63.659872	89.401421	0.157669	0.753934	0.863351	0.241029	0.784839	1.399273	3	0.025248	1.334144	3	87.428736	0.762188	1	0.014192	1.750889	1	22.91684	1.447157	3	0.046498	11.798321	5	0.136381	10.292873	5	0.020154	25.296945	3	0.026385	1.293597	6	0.016625	5.035856	1	0.074677	11.195837	4	0.057853	12.396209	3	53.20977
894	3	5.216301	4.185298	99.100312	56.591285	56.340015	0.724084	0.242579	0.405096	0.106277	0.573834	6.144821	1	0.01319	0.339928	4	69.570787	3.101707	4	0.018637	1.078186	6	26.84743	0.430939	5	0.027308	3.445943	5	0.27275	12.961487	3	0.035421	28.248889	5	0.020351	1.129821	6	0.011256	4.786373	6	0.061028	7.830967	2	0.080344	9.28055	5	14.603097
897	3	85.255514	43.846882	38.823537	72.377315	33.939447	0.971528	0.701514	0.548959	0.257275	0.206419	8.235832	4	0.020131	1.117668	4	12.98496	1.522208	6	0.020547	9.974627	1	75.298618	1.310377	5	0.025048	9.284788	1	0.025238	6.387659	1	0.054085	0.729975	6	0.140359	0.442476	1	0.134867	12.001131	2	0.160071	8.868507	4	0.012413	16.115693	3	10.553029
906	3	6.665492	51.153461	19.385937	37.811445	53.190082	0.213426	0.40292	0.986555	0.262082	0.367693	6.224666	4	0.019492	0.658428	6	45.611355	3.155873	1	0.068456	13.460381	2	80.159537	0.80622	5	0.0174	2.859784	5	0.045791	5.045766	5	0.01533	43.279027	2	0.010285	1.579305	3	0.010401	15.925978	6	0.048232	12.952617	2	0.018012	2.432043	5	71.054573
910	3	55.2994	20.238949	36.822695	43.436484	73.00214	0.724172	0.445522	0.32339	0.439893	0.521378	12.060202	2	0.011893	0.145717	1	25.876672	2.190722	4	0.103834	5.144152	1	6.854459	0.879457	2	0.010311	12.932591	5	0.010661	4.258781	3	0.023853	54.128897	5	0.056385	0.6958	3	0.012305	1.975142	6	0.062651	9.381375	5	0.034189	14.250164	5	56.661456
922	3	30.113526	26.466387	77.00251	79.1051	15.0538	0.435191	0.786389	0.729287	0.78532	0.549725	4.594823	4	0.024988	1.075767	3	80.873945	1.623523	4	0.017521	11.848271	2	89.407688	0.23776	3	0.013401	9.110963	2	0.014399	0.775662	3	0.023597	6.604083	1	0.021115	1.039161	1	0.011955	17.379752	3	0.016189	13.255219	4	0.01476	2.012743	4	75.708349
924	3	84.672313	87.085873	73.653665	94.57219	82.644341	0.430508	0.519299	0.763911	0.371743	0.319209	6.517957	3	0.01468	0.099839	6	71.143505	1.451617	6	0.010305	1.162423	1	27.602781	0.973007	5	0.025744	15.418576	4	0.046341	7.493236	5	0.011156	29.753194	4	0.01307	0.80159	2	0.040662	13.081344	2	0.011329	5.634012	4	0.0666	1.109731	6	50.122166
933	3	79.707976	26.796933	58.712859	94.24363	64.916387	0.229902	0.656123	0.964626	0.522708	0.447756	1.005807	2	0.04417	0.110797	5	55.895744	1.445224	2	0.018951	13.031437	1	97.841713	0.54063	4	0.023833	17.007314	4	0.030765	2.754048	1	0.014166	50.164131	3	0.019514	0.256601	6	0.021082	14.179446	6	0.010614	0.758523	1	0.015097	1.747546	2	30.347821
934	3	25.169112	57.40951	41.422771	84.862168	91.04273	0.481257	0.912867	0.299782	0.907561	0.828414	0.578804	4	0.121872	0.651284	6	36.022154	0.056898	4	0.014371	0.909526	1	39.507407	1.58503	3	0.010483	17.660212	4	0.079037	4.05444	1	0.019121	30.555631	4	0.01242	0.996497	6	0.135302	18.150687	3	0.017977	8.943826	3	0.028969	1.817697	2	58.678192
937	3	3.656923	96.933234	18.590394	44.317493	43.794795	0.232777	0.341362	0.541881	0.591499	0.504685	9.77833	5	0.010292	0.976231	2	32.775994	0.934792	6	0.034872	4.883411	3	6.588818	0.503205	4	0.014819	4.404719	4	0.024591	0.163142	2	0.366847	10.33522	3	0.029399	1.313913	6	0.011506	13.087554	4	0.020135	5.895381	1	0.017076	17.025179	2	27.288541
941	3	11.319165	51.333876	4.050215	91.934114	24.593398	0.867407	0.44908	0.570484	0.607122	0.170039	13.540954	4	0.010536	0.471902	3	41.487533	2.392733	5	0.036663	15.203066	5	48.901216	0.137206	3	0.014169	3.258933	5	0.01826	3.864494	3	0.010452	48.961868	1	0.018593	0.445936	3	0.010914	17.871741	4	0.011956	1.114273	2	0.055527	14.89574	6	19.99621
944	3	66.346326	9.840668	19.163556	41.387913	49.72281	0.117719	0.424662	0.459349	0.240018	0.798946	3.639673	1	0.013522	0.294207	1	56.142378	2.076992	4	0.014668	6.824516	2	2.53194	0.3488	6	0.011042	1.568742	4	0.016187	9.723804	4	0.011809	22.82383	6	0.139505	1.510245	6	0.011212	0.696408	2	0.010368	11.181478	2	0.010148	10.699217	6	87.649032
951	3	45.400898	26.210097	14.013923	79.572285	77.9873	0.551445	0.54054	0.801986	0.849297	0.162666	6.137996	6	0.08759	0.915867	1	23.855216	1.317448	6	0.016993	2.708217	2	99.829082	0.188	5	0.010818	12.932607	5	0.027779	9.44784	3	0.189955	17.99158	5	0.128046	1.318947	2	0.012621	9.977226	5	0.093345	7.155559	3	0.011907	7.000522	4	50.835214
953	3	37.944888	77.043708	28.363331	40.954112	76.008664	0.600672	0.747973	0.105323	0.521462	0.469552	4.456927	2	0.188414	1.097987	1	98.811191	3.247585	1	0.017532	1.539254	1	64.537525	1.060368	6	0.015644	18.366475	3	0.02531	2.10435	6	0.013446	33.909681	5	0.025503	1.051818	4	0.038238	16.196221	6	0.168507	2.121044	4	0.012406	11.232796	6	80.370649
956	3	12.939973	15.231387	16.318146	78.711456	86.06311	0.256029	0.747036	0.696786	0.253198	0.979218	7.362487	3	0.012999	0.897789	5	31.509567	0.969402	3	0.01638	17.695427	5	84.32335	0.836142	2	0.026461	4.112111	2	0.015098	7.651559	3	0.036429	43.772983	4	0.048476	0.280123	3	0.022843	8.406567	6	0.010921	1.011522	3	0.011506	5.834941	1	64.947941
960	3	68.032878	14.513538	39.704986	75.694351	89.580919	0.794665	0.94608	0.580695	0.771612	0.880161	11.542716	6	0.011561	1.144445	4	9.99748	2.166419	2	0.054101	9.030743	4	18.819399	0.284404	6	0.01027	11.665355	6	0.014057	5.29179	4	0.012734	26.763246	1	0.017796	0.041753	1	0.010621	17.182932	1	0.027111	10.991574	3	0.043322	9.631345	4	81.255956
979	3	57.730608	24.494876	96.375896	43.959765	58.542991	0.122167	0.451842	0.817385	0.363134	0.701216	11.443291	3	0.025657	0.170385	2	71.998903	2.309589	4	0.014689	16.711302	5	7.692975	1.595577	6	0.017186	17.23987	3	0.010831	7.85477	4	0.536321	14.643163	3	0.012068	1.48808	5	0.014731	17.628293	6	0.021963	2.110419	2	0.016555	8.250326	6	39.18114
990	3	33.422971	47.511804	50.405216	27.232071	60.518508	0.972222	0.158031	0.139231	0.4561	0.123871	4.358185	1	0.046631	0.732756	5	99.630844	0.812605	2	0.012111	12.408636	1	96.890407	0.91479	6	0.025409	14.089543	5	0.013516	5.768001	5	0.018964	38.060012	2	0.071458	0.414755	3	0.039887	17.847331	2	0.048176	8.229812	2	0.03458	17.83625	2	51.038445
996	3	98.238145	88.638497	24.830148	99.962823	7.940403	0.731987	0.381706	0.211849	0.440289	0.732293	7.440775	4	0.055042	0.525977	5	49.924468	1.03472	2	0.019919	2.474315	2	97.606636	0.83371	3	0.023557	2.918488	5	0.021196	12.823755	1	0.021284	32.941162	5	0.110955	0.655653	6	0.011099	11.620826	1	0.015171	8.492814	5	0.015195	5.908948	6	13.737299
1003	3	41.968934	64.74511	59.074288	44.849313	95.549999	0.271335	0.259762	0.945162	0.569377	0.456704	0.24213200000000001	4	0.032166	0.116341	4	4.263446	3.428182	1	0.016055	6.89088	6	24.544975	1.590738	2	0.020332	3.156248	2	0.041985	2.732752	2	0.013271	11.918967	6	0.010348	0.544414	5	0.048038	8.255931	4	0.012195	3.65276	4	0.042539	2.451919	4	44.134733
1005	3	31.99277	61.173904	45.76651	25.213708	95.302299	0.856934	0.284346	0.80246	0.604415	0.606811	3.928599	3	0.017303	0.377246	6	93.078551	0.534191	4	0.015034	17.53685	5	87.688036	1.544086	6	0.016005	3.624941	3	0.046133	11.028325	3	0.027551	27.323427	2	0.034107	1.059197	4	0.025368	8.929099	1	0.014979	9.376205	4	0.014968	0.826494	1	90.376437
1018	3	50.388052	87.045445	87.186429	26.536209	25.936006	0.275491	0.887864	0.759151	0.294309	0.578564	5.687165	5	0.01546	1.425582	6	16.824941	2.730412	4	0.024199	11.253357	2	27.465068	1.346768	4	0.010631	8.148783	5	0.013925	8.079202	4	0.018584	21.069467	4	0.019424	0.215406	4	0.025069	4.970472	2	0.015578	8.332442	4	0.013715	12.714441	2	88.398618
1030	3	91.081401	6.960424	34.609305	1.321046	26.454985	0.312793	0.235584	0.678042	0.659328	0.883877	5.272219	5	0.014051	0.350536	4	71.630278	1.25024	4	0.011153	14.694107	1	34.036051	0.225703	3	0.010588	12.464897	4	0.033298	12.002191	1	0.02105	51.742079	3	0.014137	1.296624	1	0.011039	15.723503	2	0.021039	9.517383	6	0.027847	12.953701	3	52.593953
1031	3	35.318479	25.226577	58.36319	55.954856	50.027717	0.101351	0.839787	0.795755	0.350279	0.61728	10.089046	4	0.011145	0.591254	3	23.153215	0.539855	1	0.015204	11.513348	1	86.215965	1.317448	4	0.035846	9.63597	4	0.033759	2.757826	6	0.017795	20.672464	4	0.018357	0.236919	3	0.019877	2.956451	5	0.154633	3.677818	3	0.018334	15.6229	6	43.096491
1034	3	7.377476	56.262116	63.001224	49.258213	45.393413	0.121462	0.893117	0.956569	0.25023	0.335874	0.512665	6	0.033167	1.410408	6	39.696751	2.977016	3	0.064662	8.866671	4	39.815065	0.675559	3	0.126606	12.443815	6	0.018389	13.361379	2	0.022685	30.331485	5	0.010112	0.799166	2	0.157885	0.972136	3	0.013033	0.955625	3	0.01431	2.997706	1	35.7292
1045	3	66.09263	84.872464	96.187536	50.787124	27.506398	0.623996	0.520085	0.527001	0.755011	0.380598	5.615871	1	0.010398	0.757684	4	90.473962	0.299017	4	0.132631	2.540071	6	20.311397	1.02335	2	0.023281	7.210276	3	0.214347	11.418912	4	0.091027	44.124959	6	0.018151	0.445074	3	0.012289	6.384603	3	0.052842	8.74659	1	0.016425	2.209205	3	72.824797
1047	3	92.235482	61.977971	3.213631	60.733883	67.737281	0.568778	0.703537	0.592696	0.32452	0.8881	9.754685	4	0.067994	0.952471	4	72.127001	2.944642	5	0.061681	10.319239	6	20.874148	0.309587	2	0.24775	14.314824	5	0.01146	5.602652	3	0.018796	49.889313	1	0.018195	0.397634	4	0.011015	4.365838	1	0.010802	9.744978	5	0.018811	5.699676	6	50.425353
1050	3	37.334135	88.379064	5.770203	78.938395	25.172943	0.36662	0.75131	0.371887	0.104287	0.537333	7.931623	6	0.020328	0.667032	6	2.421413	0.198845	5	0.015747	7.235568	4	54.673002	1.28993	4	0.03703	14.52651	3	0.01059	4.965515	4	0.010988	48.9549	5	0.036383	0.676331	4	0.011524	12.85204	6	0.036872	8.301335	6	0.01553	10.922969	6	73.321157
1059	3	65.45573	74.551586	34.056898	69.433498	57.334716	0.588362	0.24765	0.298864	0.496686	0.996029	12.866196	6	0.010001	0.476927	3	81.361214	0.103159	2	0.291195	0.231651	4	37.293393	0.950402	6	0.012093	11.084123	6	0.020339	10.513885	4	0.067697	35.852053	5	0.028141	0.328218	4	0.012521	1.898931	3	0.394581	2.738889	3	0.01083	15.938914	5	81.129288
1070	3	97.376623	30.635686	7.405399	95.672539	39.290056	0.664472	0.425783	0.201385	0.18502	0.237741	3.05189	6	0.010281	1.508157	3	87.751153	2.626312	5	0.025896	5.926911	5	29.757509	0.648198	2	0.014639	2.366318	6	0.014142	2.98253	4	0.057167	0.873816	4	0.012902	0.50377	3	0.012937	1.469662	3	0.036596	10.81951	6	0.016092	15.615475	5	65.598306
1082	3	38.840355	41.852083	18.82218	51.100732	25.783828	0.200275	0.682196	0.815192	0.796437	0.531736	3.028341	1	0.010211	0.915875	5	78.219126	0.135478	3	0.030372	4.982652	5	97.614953	1.420412	2	0.017481	11.345402	2	0.017898	13.566335	3	0.016477	43.808559	6	0.014116	0.649241	3	0.010013	11.405127	4	0.011241	9.888108	4	0.028772	12.347195	2	64.949922
1090	3	8.665259	86.377352	3.764526	42.070497	97.897661	0.940743	0.220155	0.885978	0.700813	0.831862	2.670484	2	0.126326	0.788103	3	35.303938	0.15049	1	0.032904	2.28158	2	50.165589	1.542397	4	0.012193	0.785586	6	0.010252	10.09424	4	0.047862	29.195891	1	0.01039	0.421013	1	0.014027	2.373579	6	0.030377	7.689831	3	0.038453	2.074253	5	77.592903
1101	3	62.454147	46.940069	81.677225	62.10123	80.925076	0.330096	0.115563	0.690422	0.668433	0.546987	8.23822	6	0.013051	0.748662	4	57.21008	2.7305450000000002	5	0.024576	9.637985	1	69.492881	1.186993	5	0.016539	11.795425	2	0.01535	12.240079	4	0.010789	41.196858	6	0.011041	1.02289	2	0.750369	5.069764	1	0.021291	2.668371	5	0.011912	15.262037	2	2.911196
1103	3	80.750987	20.887877	59.319724	12.552462	53.549901	0.783226	0.167593	0.734319	0.166313	0.377075	9.744114	6	0.013099	0.178375	1	74.784152	3.676474	2	0.019286	13.00469	6	85.292842	0.123661	5	0.048215	8.179822	3	0.020659	5.514731	1	0.040876	8.119282	2	0.030684	0.154835	1	0.018838	16.714966	2	0.063874	10.274733	3	0.018775	1.566292	5	30.608977
1105	3	34.14185	41.238447	37.363477	29.250629	30.054348	0.153482	0.542887	0.262553	0.777216	0.890406	5.211083	3	0.051509	0.400418	4	1.472433	3.050066	2	0.010267	2.792835	1	12.152579	1.413018	1	0.025779	8.977214	6	0.036086	5.666773	5	0.04405	35.34976	3	0.089577	0.31749	6	0.050167	2.010342	6	0.014602	9.728429	4	0.035902	2.504544	4	27.193473
1106	3	46.751501	81.466506999999993	81.109905	92.796067	20.135339	0.177608	0.697131	0.664211	0.838573	0.781214	5.449669	3	0.010964	1.408337	3	10.158225	2.872023	6	0.010737	11.53016	2	27.512666	1.424232	3	0.018099	1.629888	5	0.023842	3.919753	5	0.238314	31.137939	4	0.059946	0.228694	1	0.028273	10.952989	5	0.034023	0.783383	3	0.320111	9.488782	5	18.746375
1107	3	17.686972	15.649962	25.390577	40.712123	14.05684	0.97903	0.551695	0.737941	0.903119	0.547563	12.640306	6	0.031205	0.576565	5	63.38199	1.470119	5	0.024707	12.88704	2	49.614727	0.953763	5	0.036698	4.390634	4	0.025288	10.215231	2	0.060217	17.907248	5	0.059325	0.64375	2	0.020956	14.943408	1	0.014884	3.297903	3	0.014369	14.045934	2	4.608173
1118	3	60.619968	86.821958	42.837575	21.920408	4.064127	0.129245	0.61520300000000006	0.876014	0.47205	0.12427	1.499699	2	0.686283	1.106206	2	35.432495	2.272548	3	0.028933	17.751445	2	25.996236	1.15319	1	0.02529	15.014293	1	0.326562	8.764236	5	0.011011	38.343928	2	0.024661	0.126737	3	0.010404	4.172741	1	0.010145	4.479489	6	0.037605	5.444446	5	93.868604
1133	3	89.81598	14.926656	54.08569	67.935945	76.435282	0.267721	0.441329	0.901616	0.971898	0.298749	3.865497	4	0.041132	1.428091	5	17.935275	2.558461	2	0.021006	7.842873	2	51.387747	1.558045	4	0.07422	9.133509	6	0.017335	5.512026	1	0.018535	53.411161	5	0.232526	0.575494	3	0.013452	9.483001	4	0.016836	11.172871	6	0.145042	13.841518	6	71.648943
1136	3	68.913375	89.248303	12.948576	68.119358	76.934365	0.927749	0.868549	0.396794	0.420197	0.292827	10.492249	4	0.011707	1.47527	5	88.762574	1.342195	3	0.079516	4.931474	3	6.581913	0.383364	2	0.010788	15.206467	4	0.013186	11.562557	2	0.013981	41.404547	6	0.021403	0.369295	6	0.026061	11.141485	6	0.024199	11.954176	4	0.280111	7.286	5	52.266123
1141	3	36.31108	39.803588	93.09333	8.889875	79.517817	0.30349	0.968354	0.749509	0.262882	0.598962	8.208172	3	0.010322	1.23731	4	64.442573	0.650784	4	0.013783	16.527656	6	41.593405	0.852402	5	0.019734	3.748576	3	0.017331	5.248204	3	0.023871	39.018279	6	0.01734	1.276944	3	0.011759	2.683994	2	0.082398	12.679949	5	0.17833	15.047799	5	85.951938
1144	3	36.675112	36.855163	19.023088	20.562696	1.851862	0.933766	0.255663	0.666549	0.769121	0.166116	10.94098	1	0.132489	1.120139	1	26.313531	3.165867	3	0.012074	10.319732	1	80.286564	1.244764	3	0.042085	3.516877	5	0.021082	2.588731	4	0.014376	44.760595	4	0.010571	1.530396	4	0.017466	13.61134	4	0.045559	11.645484	4	0.010647	3.125057	4	9.757387
1148	3	99.990231	23.277433	47.708942	79.533718	53.008179	0.144445	0.450238	0.808514	0.227967	0.442984	0.608439	2	0.012322	0.511466	5	44.473413	2.960482	5	0.028904	8.997918	2	43.359417	1.422817	1	0.011112	0.562759	3	0.028861	3.422553	2	0.081363	14.296597	4	0.014884	0.92732	6	0.019601	11.681039	5	0.01347	7.051075	3	0.267908	15.034553	5	95.773346
1149	3	23.147435	84.811123	12.925312	75.924998	85.022343	0.625852	0.994752	0.554634	0.443629	0.644043	2.73008	6	0.01022	0.266306	6	94.33752	1.909134	4	0.013873	11.788078	2	95.502679	0.807854	2	0.010255	16.250843	6	0.048043	9.669406	4	0.01367	19.326247	5	0.015028	0.615961	2	0.015357	0.907997	1	0.018313	4.732747	6	0.028873	4.091437	2	33.966412
1154	3	17.011305	1.193215	16.760235	15.947747	24.888871	0.272489	0.652811	0.649189	0.376798	0.45072	10.075334	4	0.018243	0.214598	1	28.738845	0.263457	4	0.011587	18.19244	2	1.07458	0.965627	1	0.017645	14.740272	6	0.043099	2.52765	3	0.013315	45.040653	3	0.012805	0.70406	1	0.016257	11.337925	2	0.022823	13.298774	5	0.010794	14.523277	3	59.301324
1176	3	3.864126	17.057701	47.267303	40.297301	18.918218	0.182423	0.936973	0.490336	0.885712	0.211761	3.45646	2	0.011213	0.097136	4	34.339753	0.942042	3	0.01167	0.930741	5	15.473989	1.030593	2	0.014701	11.39467	4	0.024974	10.878604	4	0.012102	48.619029	2	0.015061	0.461145	4	0.011512	15.880995	2	0.017744	4.04695	2	0.012115	15.964235	5	85.004514
1196	3	2.95711	11.315529	24.465672	97.991281	18.116922	0.395601	0.677739	0.394872	0.499144	0.355615	5.195938	1	0.040598	1.423743	3	99.959093	0.781345	6	0.016246	2.879412	2	22.156562	1.345593	4	0.036827	7.769721	1	0.016798	9.85429	1	0.013583	5.045685	3	0.044388	0.156966	3	0.10144	3.503386	2	0.024868	12.255865	1	0.016206	13.618833	3	22.678659
1197	3	67.818921	23.205627	20.137876	48.510387	69.834773	0.692274	0.137138	0.9616	0.151288	0.679839	6.059985	4	0.010249	1.125062	1	20.605871	1.871565	1	0.011456	14.416145	4	2.819064	0.749775	3	0.013999	6.011763	5	0.014502	4.405788	1	0.017941	7.340506	2	0.023863	0.447906	6	0.101357	7.782424	5	0.01847	8.390759	2	0.026287	0.606351	4	69.576937
1200	3	7.076425	4.755671	10.878716	88.947834	57.855419	0.494328	0.242292	0.790483	0.580548	0.30488	12.403546	3	0.023646	1.177819	6	67.681904	2.57794	1	0.035919	5.480834	4	29.557272	0.636157	1	0.016081	10.412926	4	0.010841	12.835505	2	0.013524	52.84681	2	0.014005	0.22407	1	0.013166	9.490602	4	0.036224	7.854566	6	0.023264	10.034942	3	61.926601
1210	3	73.037236	91.815316	20.477829	23.312642	46.296829	0.379967	0.650337	0.677132	0.17221	0.529562	8.944304	3	0.018701	0.117168	1	51.51566	3.643193	6	0.014858	0.803334	5	35.872585	1.502251	5	0.011965	1.85096	1	0.025711	6.117925	4	0.01264	17.313267	3	0.012776	1.235045	5	0.070494	17.71676	4	0.014017	11.288404	1	0.028219	6.808091	5	54.708255
1219	3	59.825739	9.863275	41.82684	87.421167	34.765195	0.693755	0.403911	0.696067	0.251543	0.68035	1.958589	5	0.083821	0.5981	3	92.619303	3.519192	1	0.018691	1.026907	1	81.183798	0.61481	4	0.013088	0.75196	6	0.01206	1.49774	1	0.014043	18.22239	1	0.041308	0.100221	4	0.01235	5.553896	3	0.011886	4.394378	1	0.052944	12.461286	4	65.070216
